name,slug,description,category,industry,experience_level,metadata_json
Bicycle Mechanic,bicycle-mechanic,"Repairs, tunes, and customizes bicycles for commuters and enthusiasts. Diagnoses issues in gears, brakes, wheels, and frames, performs routine maintenance, and advises customers on upgrades or fit adjustments. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Hand Tool Operation""], ""common_technologies"": [], ""common_domains"": [""Bicycle Mechanics"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Instrument Maker / Luthier,instrument-maker-luthier,"Builds or repairs musical instruments such as guitars, sitars, flutes, and violins by hand. Combines woodworking precision with acoustic knowledge to shape, assemble, and fine-tune instruments for sound quality and playability. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Manufacturing,Entry,"{""cluster"": ""Makers"", ""common_tools"": [""Hand Tool Operation""], ""common_technologies"": [], ""common_domains"": [""Instrument Making & Repair"", ""Acoustic Knowledge"", ""Woodworking Techniques"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Wedding Planner,wedding-planner,"Manages every detail of a wedding, from venue and decor to catering and guest coordination. Builds vendor networks, tracks budgets and timelines, and handles on-the-day logistics so clients can enjoy a smooth, personalized event. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Consulting,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Birthday / Event Planner,birthday-event-planner,"Designs and runs themed birthday parties and corporate events end-to-end. Coordinates venues, decor, entertainment, and catering while managing budgets and timelines to deliver a cohesive, on-brief experience for clients. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Consulting,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Life Coach,life-coach,"Helps clients set goals, build habits, and navigate life transitions through one-on-one coaching sessions. Uses structured questioning and accountability frameworks to guide reflection and behavior change rather than giving direct advice. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Consulting,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Goal Setting Frameworks"", ""Behavioral Coaching Techniques""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Corporate Trainer,corporate-trainer,"Teaches employees skills such as communication, leadership, and productivity through workshops and training sessions. Designs curricula tailored to organizational needs, delivers engaging sessions, and measures learning outcomes. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Consulting,Mid,"{""cluster"": ""Connectors"", ""common_tools"": [""Presentation Design""], ""common_technologies"": [""Presentation Design""], ""common_domains"": [""Curriculum Design"", ""Facilitation"", ""Subject Matter Expertise""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Matchmaker / Marriage Consultant,matchmaker-marriage-consultant,"Helps individuals or families find compatible life partners through personalized matching and guided introductions. Interviews clients to understand preferences and values, and manages sensitive, confidential relationship processes. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Consulting,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Compatibility Assessment"", ""Interviewing Techniques""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Real Estate Agent,real-estate-agent,"Helps clients buy, sell, and rent properties by understanding local markets and negotiating deals. Conducts property viewings, prepares listings and paperwork, and advises clients on pricing and legal considerations. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Real Estate,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Real Estate Market Analysis"", ""Property Law Basics""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
HR Consultant,hr-consultant,"Helps companies hire, manage, and retain employees by designing HR systems, policies, and culture initiatives. Advises on recruitment, employee relations, and compliance while tailoring recommendations to organizational size and needs. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Consulting,Mid,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""HR Policy Development"", ""Interviewing Techniques"", ""Facilitation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Travel Planner,travel-planner,"Designs custom travel itineraries for individuals, couples, and families. Researches destinations, books transport and stays, and adapts plans to budget, interests, and logistical constraints to create smooth trip experiences. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Travel & Hospitality,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Itinerary Planning"", ""Destination Knowledge""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Fundraiser / Crowdfunding Expert,fundraiser-crowdfunding-expert,"Helps NGOs and startups raise money through events, online campaigns, and donor outreach. Plans fundraising strategy, writes appeals and grant proposals, and manages relationships with recurring and major donors. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Non-Profit,Mid,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [""Social Media Management"", ""Excel""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Community Manager,community-manager,"Builds and manages online communities for brands, creators, or causes across social platforms and forums. Moderates discussions, plans engagement activities, and analyzes community health metrics to grow participation. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Technology,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [""Social Media Management""], ""common_technologies"": [""Social Media Management""], ""common_domains"": [""Community Moderation"", ""Conflict Resolution""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Interpreter / Translator,interpreter-translator,"Converts spoken or written content between languages for businesses, courts, or media. Ensures accuracy and cultural nuance in translation, and in interpreting roles delivers real-time language conversion under time pressure. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Media,Entry,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Translation Techniques"", ""Simultaneous Interpretation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Conflict Mediator,conflict-mediator,"Helps resolve disputes between people, families, or organizations without going to court. Facilitates structured conversations, remains neutral between parties, and guides discussions toward mutually acceptable resolutions. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Consulting,Mid,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Mediation Techniques"", ""Conflict Resolution"", ""Facilitation"", ""Ethical & Philosophical Reasoning""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Public Relations (PR) Specialist,public-relations-pr-specialist,"Manages how a brand or individual is perceived by the public through media relations and messaging. Writes press materials, builds journalist relationships, and manages communication during both routine campaigns and crises. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Business,Media,Mid,"{""cluster"": ""Connectors"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Trekking / Adventure Guide,trekking-adventure-guide,"Leads groups through mountains, forests, and trails while ensuring safety and sharing local knowledge through storytelling. Plans routes, manages group pace and risk, and responds to emergencies in remote terrain. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Travel & Hospitality,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Trail Navigation"", ""Group Leadership (Outdoor)"", ""Local History & Culture Knowledge"", ""Physical Rehabilitation Techniques""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Wildlife Photographer,wildlife-photographer,"Captures animals, birds, and ecosystems in their natural habitats for media, conservation, and research use. Waits patiently for the right conditions, uses specialized camera gear, and edits images for publication. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [""Camera Equipment Handling"", ""Photo Editing""], ""common_technologies"": [""Photo Editing""], ""common_domains"": [""Wildlife Knowledge"", ""Conservation Practices""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Organic Farmer,organic-farmer,"Grows chemical-free food using natural cultivation methods, selling directly to consumers or local markets. Manages soil health, crop rotation, pest control, and harvest timing across seasons. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Agriculture,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Organic Farming Practices"", ""Irrigation Systems""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Scuba Diving Instructor,scuba-diving-instructor,"Teaches people to dive safely and explore underwater ecosystems. Certifies students through structured courses, checks equipment, and manages in-water safety for divers of varying skill levels. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Travel & Hospitality,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Scuba Diving Techniques"", ""Group Leadership (Outdoor)""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Surfing Instructor,surfing-instructor,"Teaches surfing techniques and ocean safety at beaches to students of varying skill levels. Reads wave and weather conditions, ensures student safety, and adapts coaching style to each learner's pace. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Travel & Hospitality,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Surfing Technique"", ""Group Leadership (Outdoor)""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Drone Pilot,drone-pilot,"Flies drones for aerial photography, land surveys, agriculture monitoring, and filmmaking. Plans flight paths, complies with aviation regulations, and captures or processes footage and data for clients. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Media,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [""Drone Piloting""], ""common_technologies"": [""Photo Editing"", ""Video Editing""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Tour Guide,tour-guide,"Leads tourists through cities, forts, temples, and cultural sites, bringing locations to life with stories and history. Manages group logistics and pacing while adapting commentary to different audiences. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Other,Travel & Hospitality,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Local History & Culture Knowledge"", ""Group Leadership (Outdoor)"", ""Itinerary Planning""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Forest Officer / Conservationist,forest-officer-conservationist,"Protects forests, wildlife, and biodiversity through patrols, policy enforcement, and community engagement. Monitors ecosystems, documents violations, and coordinates conservation programs with local communities and authorities. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Government,Mid,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [""GIS & Mapping""], ""common_domains"": [""Conservation Practices"", ""Field Patrol & Enforcement"", ""Environmental Policy Knowledge"", ""Wildlife Knowledge""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Mountaineering Instructor,mountaineering-instructor,"Trains people in rock climbing, high-altitude trekking, and survival skills. Assesses student ability and terrain risk, teaches technical climbing systems, and manages emergencies in high-altitude environments. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Other,Travel & Hospitality,Mid,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Rock Climbing Technique"", ""High-Altitude Survival Skills"", ""Group Leadership (Outdoor)"", ""Trail Navigation""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Geo Scientist / Field Researcher,geo-scientist-field-researcher,"Studies the earth's physical structure through fieldwork, sample collection, and terrain mapping. Analyzes geological data to understand formations, resources, or hazards, and communicates findings through reports and maps. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Research,Mid,"{""cluster"": ""Explorers"", ""common_tools"": [""GIS & Mapping""], ""common_technologies"": [""GIS & Mapping"", ""Excel""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Sailing / Yacht Captain,sailing-yacht-captain,"Navigates boats and yachts for tourism, cargo, or personal charters. Plans routes, monitors weather and vessel condition, and ensures the safety of passengers and crew throughout each voyage. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Other,Travel & Hospitality,Mid,"{""cluster"": ""Explorers"", ""common_tools"": [""Vessel Operation""], ""common_technologies"": [], ""common_domains"": [""Navigation (Marine)"", ""Group Leadership (Outdoor)""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Urban Gardener / Landscaper,urban-gardener-landscaper,"Designs and maintains green spaces, rooftop gardens, and outdoor areas for homes and offices. Selects suitable plants, plans layouts, and manages ongoing irrigation and upkeep for client properties. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Other,Entry,"{""cluster"": ""Explorers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [""Horticulture"", ""Irrigation Systems"", ""Material Selection""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
UI/UX Designer,ui-ux-designer,"Designs how apps and websites look and feel, making them visually appealing and easy to use. Creates wireframes, prototypes, and design systems, and validates decisions through usability testing and user feedback. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Technology,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Figma""], ""common_technologies"": [""Figma""], ""common_domains"": [""Usability Testing"", ""User Interviews""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Video Editor,video-editor,"Cuts, colors, and assembles raw footage into finished videos for YouTube, ads, or films. Structures pacing and story flow, applies color grading and sound design, and delivers final files in required formats. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Video Editing"", ""Adobe Premiere Pro"", ""Color Grading""], ""common_technologies"": [""Video Editing"", ""Adobe Premiere Pro"", ""Color Grading""], ""common_domains"": [""Sound Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Motion Graphics Designer,motion-graphics-designer,"Creates animated logos, explainer videos, and visual effects for brands and content creators. Builds motion sequences with attention to timing and style, working closely with clients or creative teams to match brand tone. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""After Effects""], ""common_technologies"": [""After Effects"", ""Video Editing""], ""common_domains"": [""Animation Principles"", ""Sound Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Podcast Producer,podcast-producer,"Records, edits, and distributes audio shows, managing everything from sound quality to storytelling and release schedules. Coordinates guests, edits episodes, and manages publishing across podcast platforms. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [], ""common_technologies"": [""Social Media Management""], ""common_domains"": [""Podcast Production"", ""Audio Recording & Mixing"", ""Sound Design""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Game Developer,game-developer,"Builds video games from concept to release, coding gameplay mechanics and constructing visual worlds. Works across design, programming, and testing to create engaging, bug-free interactive experiences. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Software Engineering,Technology,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Unity"", ""Git""], ""common_technologies"": [""Unity"", ""Unreal Engine""], ""common_domains"": [""Game Design"", ""Game Physics & Mechanics""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
3D Artist / Animator,3d-artist-animator,"Creates three-dimensional characters, environments, and animations for films, games, and advertisements. Models, textures, rigs, and animates assets, balancing visual quality with technical constraints such as render time. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Design,Media,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Blender""], ""common_technologies"": [""Blender""], ""common_domains"": [""Rigging & Animation"", ""Texturing & Shading"", ""Animation Principles""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Web Developer,web-developer,"Builds websites and web applications using code, from simple landing pages to complex platforms. Writes front-end and back-end logic, integrates APIs and databases, and ensures sites perform well across devices. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Web Development,Technology,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Git""], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Data Analyst,data-analyst,"Turns messy data into insights using spreadsheets, SQL, and visualization tools. Cleans and structures datasets, builds dashboards and reports, and communicates findings to guide business decisions. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Data,Technology,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Excel""], ""common_technologies"": [""Excel""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Cybersecurity Analyst,cybersecurity-analyst,"Protects systems from hackers by finding vulnerabilities and building digital defenses. Monitors networks for suspicious activity, investigates incidents, and implements security controls to reduce organizational risk. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Cybersecurity,Technology,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Security Tools (SIEM/IDS)""], ""common_technologies"": [""Security Tools (SIEM/IDS)""], ""common_domains"": [""Risk Management (Trading)""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
AI/ML Engineer,ai-ml-engineer,"Builds intelligent systems that learn from data to make predictions or decisions. Prepares datasets, trains and evaluates machine learning or deep learning models, and deploys them into production applications. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",AI/ML,Technology,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""TensorFlow/PyTorch""], ""common_technologies"": [""TensorFlow/PyTorch""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Stock / Crypto Trader,stock-crypto-trader,"Buys and sells financial instruments by analyzing markets, charts, and trends. Develops trading strategies, manages risk exposure, and tracks positions across stocks, crypto, or other asset classes. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Finance,Finance,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""Financial Market Analysis"", ""Technical Chart Analysis"", ""Risk Management (Trading)""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Social Media Manager,social-media-manager,"Creates, schedules, and grows content for brands and creators across social platforms. Plans content calendars, engages with audiences, and analyzes performance metrics to refine strategy. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Media,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [""Social Media Management""], ""common_technologies"": [""Social Media Management"", ""Photo Editing""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Email Marketer / Copywriter,email-marketer-copywriter,"Writes persuasive emails and marketing copy that drives clicks, signups, and sales. Segments audiences, tests messaging variations, and analyzes campaign performance to improve conversion over time. Entry-level professionals typically build a portfolio and client base before progressing to more complex, higher-value work.",Business,Media,Entry,"{""cluster"": ""Screen Workers"", ""common_tools"": [], ""common_technologies"": [], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Forensic Scientist,forensic-scientist,"Analyzes crime scene evidence using scientific methods to help solve criminal cases. Collects and tests samples in the lab, maintains strict evidence-handling protocols, and presents findings to investigators or courts. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Government,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""Ethical & Philosophical Reasoning""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Patent Analyst,patent-analyst,"Researches inventions and checks whether they qualify for patent protection. Conducts prior-art searches, compares technical claims against existing patents, and prepares reports supporting filing decisions. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Consulting,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""Patent Law Basics"", ""Subject Matter Expertise""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Behavioural Economist,behavioural-economist,Studies why people make irrational financial decisions and designs better systems and policies as a result. Runs experiments to test decision-making theories and translates findings into practical recommendations. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.,Research,Research,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [""Behavioral Economics Theory""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Urban Planner,urban-planner,"Designs how cities grow, covering road layouts, zoning, green spaces, and public transport. Analyzes population and land-use data, drafts development plans, and balances community, environmental, and infrastructure needs. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Government,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [""GIS Mapping""], ""common_technologies"": [""GIS Mapping""], ""common_domains"": [""Urban Planning Principles"", ""Environmental Policy Knowledge""], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Policy Researcher,policy-researcher,"Analyzes government policies, writes reports, and recommends changes based on data. Reviews legislation and existing research, gathers evidence, and communicates findings clearly to policymakers or the public. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Research,Government,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Excel""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
Ethical Hacker,ethical-hacker,"Tests systems for security weaknesses by thinking like an attacker, then reports fixes. Conducts authorized penetration tests, documents findings clearly, and recommends remediation steps to strengthen defenses. Professionals at this level usually have some prior experience and take on more independent or specialized responsibility over time.",Cybersecurity,Technology,Mid,"{""cluster"": ""Thinkers"", ""common_tools"": [], ""common_technologies"": [""Security Tools (SIEM/IDS)""], ""common_domains"": [], ""typical_responsibilities"": [], ""education_background"": [], ""related_roles"": []}"
