career_slug,skill_slug,importance,required_level,is_core
wildlife-photographer,wilderness-first-aid,2,Beginner,false
wildlife-photographer,storytelling,2,Beginner,false
wildlife-photographer,marketing-strategy,2,Beginner,false
wildlife-photographer,conservation-practices,2,Beginner,false
organic-farmer,organic-farming-practices,5,Advanced,true
organic-farmer,soil-and-crop-science,4,Advanced,true
organic-farmer,irrigation-systems,3,Intermediate,true
organic-farmer,budgeting,2,Beginner,false
organic-farmer,sales,2,Beginner,false
organic-farmer,inventory-management,2,Beginner,false
organic-farmer,time-and-project-management,3,Intermediate,false
organic-farmer,financial-literacy,1,Beginner,false
scuba-diving-instructor,scuba-diving-techniques,5,Expert,true
scuba-diving-instructor,dive-safety-and-rescue,5,Advanced,true
scuba-diving-instructor,ocean-and-water-safety,4,Advanced,true
scuba-diving-instructor,wilderness-first-aid,3,Advanced,true
scuba-diving-instructor,group-leadership-outdoor,3,Intermediate,false
scuba-diving-instructor,customer-service,2,Beginner,false
scuba-diving-instructor,marketing-strategy,1,Beginner,false
scuba-diving-instructor,equipment-maintenance,1,Beginner,false
surfing-instructor,surfing-technique,5,Advanced,true
surfing-instructor,ocean-and-water-safety,5,Advanced,true
surfing-instructor,wilderness-first-aid,3,Intermediate,true
surfing-instructor,group-leadership-outdoor,3,Intermediate,false
surfing-instructor,customer-service,2,Beginner,false
surfing-instructor,marketing-strategy,1,Beginner,false
surfing-instructor,time-and-project-management,1,Beginner,false
surfing-instructor,equipment-maintenance,1,Beginner,false
drone-pilot,drone-piloting,5,Advanced,true
drone-pilot,aviation-regulations,4,Intermediate,true
drone-pilot,aerial-videography,4,Intermediate,true
drone-pilot,photo-editing,3,Intermediate,false
drone-pilot,video-editing,2,Intermediate,false
drone-pilot,client-relationship-management,2,Beginner,false
drone-pilot,risk-assessment-outdoor,2,Beginner,false
drone-pilot,marketing-strategy,1,Beginner,false
tour-guide,local-history-and-culture-knowledge,5,Advanced,true
tour-guide,storytelling,5,Advanced,true
tour-guide,group-leadership-outdoor,3,Intermediate,true
tour-guide,bilingual-multilingual-proficiency,2,Intermediate,false
tour-guide,customer-service,3,Intermediate,false
tour-guide,itinerary-planning,2,Beginner,false
tour-guide,marketing-strategy,1,Beginner,false
tour-guide,public-speaking,3,Intermediate,false
forest-officer-conservationist,conservation-practices,5,Advanced,true
forest-officer-conservationist,field-patrol-and-enforcement,4,Advanced,true
forest-officer-conservationist,environmental-policy-knowledge,4,Intermediate,true
forest-officer-conservationist,wildlife-knowledge,4,Advanced,true
forest-officer-conservationist,report-writing,3,Intermediate,false
forest-officer-conservationist,gis-and-mapping,2,Intermediate,false
forest-officer-conservationist,scientific-data-collection,3,Intermediate,false
forest-officer-conservationist,public-engagement,2,Beginner,false
mountaineering-instructor,rock-climbing-technique,5,Advanced,true
mountaineering-instructor,high-altitude-survival-skills,5,Advanced,true
mountaineering-instructor,wilderness-first-aid,5,Advanced,true
mountaineering-instructor,risk-assessment-outdoor,5,Advanced,true
mountaineering-instructor,group-leadership-outdoor,4,Advanced,true
mountaineering-instructor,trail-navigation,3,Advanced,false
mountaineering-instructor,customer-service,1,Beginner,false
mountaineering-instructor,equipment-maintenance,2,Beginner,false
geo-scientist-field-researcher,geological-fieldwork,5,Advanced,true
geo-scientist-field-researcher,scientific-data-collection,5,Advanced,true
geo-scientist-field-researcher,gis-and-mapping,4,Advanced,true
geo-scientist-field-researcher,statistics,3,Intermediate,false
geo-scientist-field-researcher,report-writing,3,Intermediate,false
geo-scientist-field-researcher,laboratory-techniques,3,Intermediate,false
geo-scientist-field-researcher,wilderness-first-aid,2,Beginner,false
geo-scientist-field-researcher,excel,2,Beginner,false
sailing-yacht-captain,navigation-marine,5,Advanced,true
sailing-yacht-captain,vessel-operation,5,Advanced,true
sailing-yacht-captain,maritime-safety-regulations,5,Advanced,true
sailing-yacht-captain,wilderness-first-aid,2,Intermediate,false
sailing-yacht-captain,group-leadership-outdoor,3,Intermediate,false
sailing-yacht-captain,customer-service,2,Beginner,false
sailing-yacht-captain,equipment-maintenance,3,Intermediate,false
sailing-yacht-captain,risk-assessment-outdoor,3,Intermediate,false
urban-gardener-landscaper,landscape-design,5,Advanced,true
urban-gardener-landscaper,horticulture,5,Advanced,true
urban-gardener-landscaper,irrigation-systems,4,Intermediate,true
urban-gardener-landscaper,material-selection,2,Beginner,false
urban-gardener-landscaper,client-relationship-management,2,Beginner,false
urban-gardener-landscaper,budgeting,2,Beginner,false
urban-gardener-landscaper,time-and-project-management,2,Beginner,false
urban-gardener-landscaper,customer-service,2,Beginner,false
ui-ux-designer,ui-design,5,Advanced,true
ui-ux-designer,ux-design,5,Advanced,true
ui-ux-designer,wireframing-and-prototyping,5,Advanced,true
ui-ux-designer,figma,4,Advanced,true
ui-ux-designer,design-systems,4,Intermediate,true
ui-ux-designer,usability-testing,3,Intermediate,false
ui-ux-designer,user-interviews,2,Intermediate,false
ui-ux-designer,client-relationship-management,2,Beginner,false
video-editor,video-editing,5,Advanced,true
video-editor,adobe-premiere-pro,4,Advanced,true
video-editor,color-grading,4,Intermediate,true
video-editor,sound-design,3,Intermediate,false
video-editor,storytelling,3,Intermediate,false
video-editor,motion-graphics,2,Beginner,false
video-editor,client-relationship-management,2,Beginner,false
video-editor,time-and-project-management,2,Beginner,false
motion-graphics-designer,motion-graphics,5,Advanced,true
motion-graphics-designer,after-effects,5,Advanced,true
motion-graphics-designer,animation-principles,4,Advanced,true
motion-graphics-designer,design-systems,3,Intermediate,false
motion-graphics-designer,video-editing,3,Intermediate,false
motion-graphics-designer,sound-design,2,Beginner,false
motion-graphics-designer,client-relationship-management,2,Beginner,false
motion-graphics-designer,time-and-project-management,2,Beginner,false
podcast-producer,podcast-production,5,Advanced,true
podcast-producer,audio-recording-and-mixing,5,Advanced,true
podcast-producer,sound-design,3,Intermediate,false
podcast-producer,storytelling,3,Intermediate,false
podcast-producer,content-calendar-planning,2,Beginner,false
podcast-producer,social-media-management,2,Beginner,false
podcast-producer,client-relationship-management,2,Beginner,false
podcast-producer,marketing-strategy,2,Beginner,false
game-developer,game-design,5,Advanced,true
game-developer,unity,4,Advanced,true
game-developer,c,4,Advanced,true
game-developer,game-physics-and-mechanics,4,Intermediate,true
game-developer,git,3,Intermediate,true
game-developer,3d-modelling,2,Beginner,false
game-developer,unreal-engine,2,Beginner,false
game-developer,time-and-project-management,2,Beginner,false
3d-artist-animator,3d-modelling,5,Advanced,true
3d-artist-animator,blender,4,Advanced,true
3d-artist-animator,rigging-and-animation,4,Advanced,true
3d-artist-animator,texturing-and-shading,4,Intermediate,true
3d-artist-animator,animation-principles,4,Intermediate,true
3d-artist-animator,design-systems,2,Beginner,false
3d-artist-animator,client-relationship-management,2,Beginner,false
3d-artist-animator,time-and-project-management,2,Beginner,false
web-developer,html-css,5,Advanced,true
web-developer,javascript,5,Advanced,true
web-developer,react,4,Advanced,true
web-developer,node-js,3,Intermediate,true
web-developer,git,4,Intermediate,true
web-developer,rest-apis,4,Intermediate,true
web-developer,sql,3,Intermediate,false
web-developer,ui-design,2,Beginner,false
data-analyst,sql,5,Advanced,true
data-analyst,excel,4,Advanced,true
data-analyst,data-visualization,4,Advanced,true
data-analyst,statistics,4,Intermediate,true
data-analyst,data-cleaning,4,Intermediate,true
data-analyst,python,3,Intermediate,false
data-analyst,report-writing,2,Intermediate,false
data-analyst,business-model-design,1,Beginner,false
cybersecurity-analyst,network-security,5,Advanced,true
cybersecurity-analyst,vulnerability-assessment,5,Advanced,true
cybersecurity-analyst,security-tools-siem-ids,4,Advanced,true
cybersecurity-analyst,penetration-testing,3,Intermediate,false
cybersecurity-analyst,report-writing,3,Intermediate,false
cybersecurity-analyst,sql,2,Beginner,false
cybersecurity-analyst,python,2,Beginner,false
cybersecurity-analyst,risk-management-trading,1,Beginner,false
ai-ml-engineer,machine-learning,5,Advanced,true
ai-ml-engineer,python,5,Advanced,true
ai-ml-engineer,deep-learning,4,Advanced,true
ai-ml-engineer,data-preprocessing,4,Intermediate,true
ai-ml-engineer,model-evaluation,4,Intermediate,true
ai-ml-engineer,tensorflow-pytorch,4,Advanced,true
ai-ml-engineer,statistics,3,Intermediate,false
ai-ml-engineer,sql,3,Intermediate,false
ai-ml-engineer,git,2,Intermediate,false
stock-crypto-trader,financial-market-analysis,5,Advanced,true
stock-crypto-trader,technical-chart-analysis,5,Advanced,true
stock-crypto-trader,risk-management-trading,5,Advanced,true
stock-crypto-trader,statistics,3,Intermediate,false
stock-crypto-trader,excel,2,Intermediate,false
stock-crypto-trader,financial-literacy,4,Advanced,true
stock-crypto-trader,data-visualization,2,Beginner,false
stock-crypto-trader,python,1,Beginner,false
social-media-manager,social-media-management,5,Advanced,true
social-media-manager,content-calendar-planning,4,Advanced,true
social-media-manager,copywriting,4,Intermediate,true
social-media-manager,engagement-analytics,3,Intermediate,true
social-media-manager,graphic-design,2,Beginner,false
social-media-manager,photo-editing,2,Beginner,false
social-media-manager,marketing-strategy,3,Intermediate,false
social-media-manager,client-relationship-management,2,Beginner,false
email-marketer-copywriter,copywriting,5,Advanced,true
email-marketer-copywriter,email-marketing,5,Advanced,true
email-marketer-copywriter,a-b-testing,4,Intermediate,true
email-marketer-copywriter,marketing-strategy,3,Intermediate,false
email-marketer-copywriter,seo,2,Beginner,false
email-marketer-copywriter,content-calendar-planning,2,Beginner,false
email-marketer-copywriter,data-visualization,1,Beginner,false
email-marketer-copywriter,client-relationship-management,2,Beginner,false
forensic-scientist,forensic-analysis-techniques,5,Advanced,true
forensic-scientist,laboratory-techniques,5,Advanced,true
forensic-scientist,chain-of-custody-procedures,5,Advanced,true
forensic-scientist,report-writing,3,Intermediate,true
forensic-scientist,statistics,2,Intermediate,false
forensic-scientist,scientific-data-collection,3,Intermediate,false
forensic-scientist,ethical-and-philosophical-reasoning,1,Beginner,false
forensic-scientist,excel,2,Beginner,false
patent-analyst,patent-law-basics,5,Advanced,true
patent-analyst,prior-art-search,5,Advanced,true
patent-analyst,technical-research,4,Advanced,true
patent-analyst,report-writing,4,Intermediate,true
patent-analyst,subject-matter-expertise,3,Intermediate,false
patent-analyst,excel,2,Beginner,false
patent-analyst,client-relationship-management,1,Beginner,false
patent-analyst,data-cleaning,1,Beginner,false
behavioural-economist,behavioral-economics-theory,5,Advanced,true
behavioural-economist,experimental-design,4,Advanced,true
behavioural-economist,statistics,4,Advanced,true
behavioural-economist,report-writing,3,Intermediate,false
behavioural-economist,survey-design,3,Intermediate,false
behavioural-economist,data-cleaning,2,Intermediate,false
behavioural-economist,excel,2,Beginner,false
behavioural-economist,public-engagement,2,Beginner,false
urban-planner,urban-planning-principles,5,Advanced,true
urban-planner,gis-mapping,5,Advanced,true
urban-planner,policy-analysis,4,Advanced,true
urban-planner,report-writing,3,Intermediate,true
urban-planner,public-engagement,3,Intermediate,false
urban-planner,environmental-policy-knowledge,2,Intermediate,false
urban-planner,data-visualization,2,Beginner,false
urban-planner,statistics,2,Beginner,false
policy-researcher,policy-analysis,5,Advanced,true
policy-researcher,report-writing,5,Advanced,true
policy-researcher,technical-research,4,Advanced,true
policy-researcher,statistics,3,Intermediate,false
policy-researcher,survey-design,2,Intermediate,false
policy-researcher,data-visualization,2,Beginner,false
policy-researcher,public-engagement,2,Beginner,false
policy-researcher,excel,2,Beginner,false
ethical-hacker,ethical-hacking-techniques,5,Expert,true
ethical-hacker,penetration-testing,5,Advanced,true
ethical-hacker,vulnerability-assessment,5,Advanced,true
ethical-hacker,network-security,4,Advanced,true
ethical-hacker,security-tools-siem-ids,3,Intermediate,false
ethical-hacker,report-writing,3,Intermediate,false
ethical-hacker,python,2,Intermediate,false
ethical-hacker,sql,2,Beginner,false
philosophy-consultant,ethical-and-philosophical-reasoning,5,Advanced,true
philosophy-consultant,facilitation,4,Advanced,true
philosophy-consultant,active-listening,3,Intermediate,false
philosophy-consultant,report-writing,2,Intermediate,false
philosophy-consultant,public-speaking,2,Intermediate,false
philosophy-consultant,client-relationship-management,2,Beginner,false
philosophy-consultant,conflict-resolution,1,Beginner,false
philosophy-consultant,curriculum-design,1,Beginner,false
actuary,actuarial-mathematics,5,Expert,true
actuary,probability-and-risk-modelling,5,Advanced,true
actuary,statistics,5,Advanced,true
actuary,excel,4,Advanced,true
actuary,data-cleaning,2,Intermediate,false
actuary,report-writing,2,Intermediate,false
actuary,sql,2,Beginner,false
actuary,financial-literacy,3,Intermediate,false
science-communicator,science-writing,5,Advanced,true
science-communicator,public-engagement,5,Advanced,true
science-communicator,storytelling,4,Intermediate,true
science-communicator,subject-matter-expertise,3,Intermediate,false
science-communicator,public-speaking,3,Intermediate,false
science-communicator,video-editing,2,Beginner,false
science-communicator,social-media-management,2,Beginner,false
science-communicator,content-creation,2,Beginner,false
archaeologist,archaeological-excavation-techniques,5,Advanced,true
archaeologist,artifact-analysis-and-preservation,5,Advanced,true
archaeologist,scientific-data-collection,4,Advanced,true
archaeologist,report-writing,3,Intermediate,true
archaeologist,gis-mapping,2,Intermediate,false
archaeologist,local-history-and-culture-knowledge,3,Intermediate,false
archaeologist,statistics,1,Beginner,false
archaeologist,public-engagement,2,Beginner,false
operations-researcher,operations-research-modelling,5,Advanced,true
operations-researcher,optimization-techniques,5,Advanced,true
operations-researcher,statistics,4,Advanced,true
operations-researcher,python,3,Intermediate,true
operations-researcher,excel,3,Intermediate,false
operations-researcher,data-visualization,2,Intermediate,false
operations-researcher,report-writing,2,Intermediate,false
operations-researcher,sql,2,Beginner,false
ux-researcher,user-interviews,5,Advanced,true
ux-researcher,survey-design,4,Advanced,true
ux-researcher,usability-testing,5,Advanced,true
ux-researcher,qualitative-data-analysis,4,Advanced,true
ux-researcher,report-writing,3,Intermediate,false
ux-researcher,statistics,2,Intermediate,false
ux-researcher,ux-design,2,Beginner,false
ux-researcher,data-visualization,2,Beginner,false
voice-over-artist,voice-modulation,5,Advanced,true
voice-over-artist,script-reading-and-interpretation,5,Advanced,true
voice-over-artist,home-studio-recording,4,Intermediate,true
voice-over-artist,audio-recording-and-mixing,3,Intermediate,false
voice-over-artist,character-voicing,3,Intermediate,false
voice-over-artist,client-relationship-management,2,Beginner,false
voice-over-artist,time-and-project-management,2,Beginner,false
voice-over-artist,marketing-strategy,1,Beginner,false
stand-up-comedian,comedy-writing,5,Advanced,true
stand-up-comedian,stage-presence,5,Advanced,true
stand-up-comedian,improvisation,4,Advanced,true
stand-up-comedian,public-speaking,4,Advanced,true
stand-up-comedian,audience-engagement,4,Advanced,true
stand-up-comedian,content-creation,2,Beginner,false
stand-up-comedian,social-media-management,2,Beginner,false
stand-up-comedian,marketing-strategy,1,Beginner,false
dance-choreographer,choreography,5,Advanced,true
dance-choreographer,dance-technique,5,Advanced,true
dance-choreographer,music-curation,3,Intermediate,false
dance-choreographer,group-leadership-outdoor,2,Beginner,false
dance-choreographer,content-creation,2,Beginner,false
dance-choreographer,client-relationship-management,2,Beginner,false
dance-choreographer,time-and-project-management,2,Beginner,false
dance-choreographer,social-media-management,2,Beginner,false
theatre-actor,acting-technique,5,Advanced,true
theatre-actor,script-reading-and-interpretation,4,Advanced,true
theatre-actor,memorization,4,Advanced,true
theatre-actor,stage-presence,5,Advanced,true
theatre-actor,voice-modulation,4,Intermediate,false
theatre-actor,improvisation,3,Intermediate,false
theatre-actor,audience-engagement,3,Intermediate,false
theatre-actor,time-and-project-management,1,Beginner,false
music-producer,music-production,5,Advanced,true
music-producer,digital-audio-workstation-daw,5,Advanced,true
music-producer,music-theory,4,Intermediate,true
music-producer,audio-recording-and-mixing,4,Advanced,true
music-producer,sound-design,3,Intermediate,false
music-producer,client-relationship-management,2,Beginner,false
music-producer,marketing-strategy,1,Beginner,false
music-producer,time-and-project-management,2,Beginner,false
rapper-lyricist,songwriting,5,Advanced,true
rapper-lyricist,rhyme-and-wordplay,5,Advanced,true
rapper-lyricist,stage-presence,4,Intermediate,true
rapper-lyricist,music-theory,2,Beginner,false
rapper-lyricist,home-studio-recording,3,Intermediate,false
rapper-lyricist,content-creation,2,Beginner,false
rapper-lyricist,social-media-management,2,Beginner,false
rapper-lyricist,personal-branding,2,Beginner,false
dj,dj-mixing,5,Advanced,true
dj,music-curation,5,Advanced,true
dj,audience-engagement,4,Advanced,true
dj,sound-design,2,Intermediate,false
dj,client-relationship-management,2,Beginner,false
dj,equipment-maintenance,2,Beginner,false
dj,marketing-strategy,2,Beginner,false
dj,time-and-project-management,1,Beginner,false
magician-illusionist,sleight-of-hand,5,Advanced,true
magician-illusionist,illusion-design,4,Advanced,true
magician-illusionist,stage-presence,5,Advanced,true
magician-illusionist,audience-engagement,4,Advanced,true
magician-illusionist,improvisation,3,Intermediate,false
magician-illusionist,client-relationship-management,2,Beginner,false
magician-illusionist,marketing-strategy,1,Beginner,false
